movieid,rating
1,3.9
2,3.4
3,3.3
4,2.4
5,3.1
6,3.9
7,3.2
8,2.9
9,3.1
10,3.5
11,3.7
12,2.4
13,3.1
14,3.8
15,3.0
16,3.9
17,3.8
18,3.7
19,2.7
20,2.5
21,3.5
22,3.2
23,3.1
24,3.1
25,3.6
26,3.5
27,3.3
28,4.2
29,4.0
30,3.0
31,3.2
32,4.0
34,3.7
36,3.8
38,2.1
39,3.3
40,4.2
41,3.7
42,3.0
43,3.2
44,2.5
45,3.3
46,3.1
47,4.0
48,3.1
49,3.0
50,4.2
52,3.5
53,5.0
54,2.3
55,4.0
57,3.1
58,4.0
60,3.2
61,3.8
62,3.7
63,2.7
64,2.2
65,2.5
66,2.5
68,3.4
69,3.8
70,3.5
71,1.7
72,3.2
73,3.5
74,4.0
75,2.2
76,3.4
77,4.0
78,3.3
79,2.8
80,4.0
81,3.1
82,3.9
83,3.0
85,3.9
86,4.0
87,2.5
88,3.2
89,3.2
92,2.6
93,2.8
94,4.0
95,3.0
96,3.5
97,3.9
99,5.0
100,2.8
101,3.8
102,2.4
103,3.0
104,3.4
105,3.3
106,4.0
107,3.3
108,4.0
110,4.0
111,4.1
112,3.5
113,3.3
116,3.9
117,3.0
118,2.5
119,3.0
121,4.0
122,2.7
123,4.4
125,3.6
126,2.0
128,3.0
129,2.0
132,2.8
135,3.0
137,3.0
140,3.5
141,3.5
144,3.3
145,3.2
146,3.3
147,3.5
148,5.0
149,2.0
150,3.8
151,3.5
152,1.5
153,2.9
154,3.9
155,2.4
156,3.3
157,2.9
158,2.8
159,2.9
160,2.9
161,3.6
162,4.2
163,3.6
164,3.3
165,3.6
166,2.8
168,3.1
169,2.4
170,3.2
171,3.8
172,2.7
173,2.7
174,2.7
175,4.0
176,4.3
177,2.8
178,1.0
179,1.5
180,3.4
181,2.3
183,3.5
184,3.5
185,3.0
186,2.8
187,4.1
188,3.5
189,3.0
190,2.8
191,2.4
193,2.5
194,3.7
195,3.1
196,2.7
198,3.2
199,4.1
201,3.0
202,3.0
203,3.4
204,2.7
205,3.2
206,3.0
207,3.4
208,2.9
209,3.2
210,3.0
211,3.5
212,3.0
213,3.8
214,4.0
215,4.0
216,3.3
217,2.3
218,3.4
219,3.0
220,3.0
222,3.8
223,3.9
224,3.6
225,3.5
227,2.9
228,2.3
229,3.4
230,3.4
231,3.1
232,3.9
233,3.5
234,2.6
235,3.7
236,3.5
237,3.3
238,4.0
239,3.0
240,2.4
241,4.0
242,3.6
243,3.0
246,4.3
247,3.9
248,3.2
249,3.7
250,2.5
251,3.0
252,3.5
253,3.5
254,3.0
255,2.1
256,2.8
257,3.5
258,2.6
259,3.2
260,4.2
261,3.9
262,3.9
263,4.0
265,3.9
266,3.4
267,2.9
269,3.0
270,3.4
271,3.5
272,3.8
273,2.9
274,2.9
275,2.0
276,3.2
277,3.2
278,1.5
279,3.0
280,4.1
281,3.8
282,3.3
283,3.7
284,4.5
285,4.0
287,3.0
288,3.2
289,3.6
290,4.0
291,2.3
292,3.4
293,4.0
294,3.0
295,3.0
296,4.2
298,2.0
299,4.0
300,3.5
301,4.0
302,3.2
303,3.0
304,3.7
305,2.8
306,4.2
307,3.9
308,4.0
310,3.0
311,3.0
312,1.4
313,3.3
314,3.8
315,3.1
316,3.4
317,3.2
318,4.4
319,3.6
320,3.0
321,4.0
322,3.5
324,4.0
325,2.5
326,4.0
327,2.8
328,3.1
329,3.4
330,3.0
331,3.0
332,2.8
333,3.8
334,4.2
335,3.5
336,3.0
337,3.8
338,2.8
339,3.5
340,3.4
341,4.0
342,3.3
343,2.9
344,3.0
345,3.6
346,3.5
347,3.5
348,3.6
349,3.6
350,3.4
351,3.2
352,2.5
353,3.6
354,3.3
355,2.4
356,4.2
357,3.5
358,2.7
359,3.0
360,2.7
361,3.1
362,3.5
363,4.0
364,3.9
365,3.2
366,2.9
367,3.2
368,3.5
369,4.0
370,3.1
371,3.3
372,2.8
373,3.6
374,2.2
376,3.2
377,3.5
378,2.8
379,2.5
380,3.5
381,3.8
382,3.2
383,3.1
384,3.2
385,4.0
386,3.0
387,2.4
388,3.0
389,4.5
390,3.7
391,4.5
393,2.5
405,2.4
406,3.0
407,3.4
408,3.0
409,2.0
410,3.1
412,3.5
413,2.8
414,2.3
415,2.5
416,2.5
417,3.7
418,3.0
419,2.7
420,2.7
421,3.2
422,3.2
423,2.9
424,1.8
425,3.8
426,3.1
427,2.5
428,3.7
429,2.0
430,3.8
431,3.7
432,2.6
433,2.8
434,3.0
435,2.4
436,2.6
437,2.2
438,2.7
440,3.5
441,3.9
442,3.1
444,2.3
445,3.0
446,3.8
448,3.6
449,1.0
450,3.0
451,4.0
452,3.0
453,2.8
454,3.5
455,2.4
456,3.8
457,4.0
458,2.8
459,2.2
460,2.7
461,2.8
464,2.9
466,2.9
467,5.0
468,3.2
469,3.4
470,1.0
471,3.5
472,2.6
473,1.9
474,3.7
475,4.3
476,1.0
477,3.4
478,2.5
479,2.2
480,3.8
481,3.2
482,3.6
484,3.0
485,2.9
486,3.0
487,2.5
488,3.0
489,2.9
490,3.0
491,3.3
492,3.8
493,3.7
494,3.4
495,5.0
496,5.0
497,3.8
499,2.5
500,3.4
501,3.7
502,2.4
504,3.0
505,2.2
506,4.5
507,3.4
508,3.6
509,3.5
510,3.0
511,3.0
512,3.0
513,3.4
514,3.4
515,3.6
516,3.1
517,3.3
518,2.4
519,2.4
520,3.1
521,3.2
522,3.3
523,3.5
524,3.5
526,4.0
527,4.2
528,2.3
529,3.9
531,3.2
532,3.0
533,2.9
534,3.6
535,3.3
536,3.3
537,3.2
538,3.6
539,3.5
540,2.7
541,4.1
542,2.8
543,3.3
544,2.4
546,2.0
547,3.2
548,2.8
549,4.5
550,3.4
551,3.6
552,3.3
553,3.8
555,3.8
556,3.3
558,2.9
562,3.5
563,4.0
564,1.5
567,2.0
568,3.5
569,2.7
573,3.5
574,3.2
575,2.7
577,2.1
579,3.0
580,2.8
581,4.0
583,4.0
585,2.7
586,3.0
587,3.4
588,3.8
589,4.0
590,3.8
592,3.4
593,4.2
594,3.6
595,3.8
596,3.5
597,3.5
599,3.8
600,4.0
602,4.0
605,3.0
606,3.0
608,4.1
609,3.6
610,3.5
611,2.4
612,2.5
613,3.2
615,3.0
616,3.4
617,2.8
618,3.0
619,2.6
626,5.0
627,3.3
628,3.6
631,3.2
632,4.0
633,5.0
634,2.2
635,3.0
636,3.0
637,3.0
638,3.0
639,3.0
640,2.7
645,3.5
647,3.3
648,3.5
649,3.0
650,3.0
653,3.1
656,3.0
661,3.4
662,3.3
663,3.3
665,4.3
667,2.8
668,4.2
670,4.8
671,3.5
673,2.7
674,3.2
678,3.8
679,4.0
680,4.1
685,4.0
688,2.3
691,3.3
692,2.0
694,3.0
695,4.0
697,2.7
698,1.0
700,3.2
703,2.0
704,2.6
706,3.0
707,2.9
708,3.4
709,3.1
710,2.6
711,3.0
714,4.0
715,3.7
718,4.1
719,2.8
720,4.1
722,4.0
724,3.0
725,2.5
726,3.0
728,3.5
731,3.3
733,3.6
735,3.9
736,3.3
737,2.6
741,4.1
742,2.8
743,2.5
745,3.9
747,3.3
748,3.1
750,4.3
757,4.0
759,3.5
760,4.2
761,2.8
762,2.4
764,3.5
765,3.2
766,3.5
773,3.5
775,3.0
778,4.0
779,4.0
780,3.4
781,3.5
782,3.0
783,3.3
784,2.8
785,3.4
786,3.1
788,2.7
790,2.0
791,4.0
795,3.5
798,2.7
799,3.5
800,4.2
801,3.1
802,3.3
803,4.0
804,3.2
805,3.7
806,1.5
808,3.5
809,2.3
810,2.2
813,2.8
818,3.2
823,3.5
824,4.0
828,3.3
829,2.7
830,3.1
832,3.3
833,2.0
835,3.7
836,2.9
837,3.3
838,3.9
839,2.8
840,3.4
841,3.0
842,2.5
848,3.3
849,2.9
851,2.8
852,3.2
858,4.3
861,3.8
866,4.0
867,1.8
869,3.7
870,1.0
875,3.5
876,5.0
879,3.0
880,2.7
881,2.1
882,2.0
885,2.5
886,2.7
888,2.2
889,4.0
891,3.8
892,3.5
893,3.7
896,2.5
897,3.8
898,4.3
899,4.1
900,3.7
901,3.0
902,3.8
903,4.0
904,4.3
905,4.3
906,4.1
907,3.5
908,4.2
909,4.0
910,4.0
911,3.8
912,4.2
913,4.2
914,4.0
915,3.8
916,4.1
917,3.5
918,4.1
919,3.9
920,3.6
921,3.4
922,4.3
923,4.0
924,3.9
926,4.2
927,4.0
928,4.2
929,3.5
930,4.2
931,3.8
932,3.9
933,4.2
934,3.2
935,3.8
936,4.0
937,3.5
938,3.2
940,4.0
941,3.8
942,4.3
943,3.9
944,4.0
945,4.1
946,2.5
947,3.8
948,3.9
949,3.9
950,3.9
951,4.4
952,3.6
953,4.0
954,4.1
955,3.9
956,4.0
959,3.5
961,4.0
963,3.0
965,4.0
968,3.8
969,4.0
970,3.5
971,4.1
973,3.9
976,3.0
979,3.0
981,3.0
982,3.0
984,3.5
986,3.5
987,3.0
988,3.0
990,2.9
991,3.3
993,3.0
994,4.2
996,2.5
998,3.0
999,3.0
1003,2.5
1004,3.0
1005,2.2
1006,3.5
1007,2.6
1008,3.0
1009,3.1
1010,3.1
1011,2.9
1012,3.4
1013,3.2
1014,2.9
1015,3.0
1016,2.9
1017,3.5
1018,2.4
1019,3.5
1020,3.1
1021,2.3
1022,3.5
1023,3.6
1024,3.7
1025,3.6
1027,3.0
1028,3.9
1029,3.4
1030,2.8
1031,3.5
1032,3.4
1033,3.6
1034,3.1
1035,3.9
1036,3.9
1037,2.8
1040,3.0
1041,4.6
1042,3.3
1043,2.4
1046,4.5
1047,3.3
1049,3.5
1050,3.9
1051,4.0
1053,3.0
1054,2.0
1055,1.5
1056,3.1
1057,3.5
1059,3.7
1060,3.7
1061,3.7
1064,3.2
1066,4.5
1068,3.5
1073,3.9
1076,0.0
1077,3.8
1078,3.4
1079,3.9
1080,3.9
1081,3.5
1082,3.6
1083,3.3
1084,4.1
1085,3.5
1086,4.1
1088,3.4
1089,4.2
1090,4.0
1091,2.5
1092,3.2
1093,3.4
1094,3.4
1095,3.7
1096,4.0
1097,3.8
1099,3.4
1100,2.7
1101,3.3
1103,4.1
1104,4.5
1105,4.7
1107,2.0
1111,4.1
1112,4.5
1114,3.0
1116,4.0
1117,3.5
1119,3.0
